Timestamp,publication_date,decade,volume,term,issue,type,pages,editor_1,editor_2,Editor_3,Editor_4,uid,pdf,thumb
3/23/2020 20:20:58,1956-06-07,1950,3,Trinity,17,TN,6,Jill Robbins,,,,20613_3_TN_17,20613_3_TN_17.pdf,20613_3_TN_17.jpg
3/23/2020 20:23:07,1956-06-14,1950,3,Trinity,18,TN,4,Jill Robbins,,,,20620_3_TN_18,20620_3_TN_18.pdf,20620_3_TN_18.jpg
3/24/2020 14:04:32,1956-11-01,1950,4,Michaelmas,1,TN,4,John Hautz,,,,20760_4_TN_1,20760_4_TN_1.pdf,20760_4_TN_1.jpg
3/24/2020 14:06:54,1956-11-08,1950,4,Michaelmas,2,TN,4,John Hautz,,,,20767_4_TN_2,20767_4_TN_2.pdf,20767_4_TN_2.jpg
3/24/2020 14:07:28,1956-11-15,1950,4,Michaelmas,3,TN,4,John Hautz,,,,20774_4_TN_3,20774_4_TN_3.pdf,20774_4_TN_3.jpg
3/24/2020 14:08:10,1956-11-22,1950,4,Michaelmas,4,TN,4,John Hautz,,,,20781_4_TN_4,20781_4_TN_4.pdf,20781_4_TN_4.jpg
3/24/2020 14:08:45,1956-11-29,1950,4,Michaelmas,5,TN,4,John Hautz,,,,20788_4_TN_5,20788_4_TN_5.pdf,20788_4_TN_5.jpg
3/24/2020 14:10:08,1956-12-06,1950,4,Michaelmas,6,TN,6,John Hautz,,,,20795_4_TN_6,20795_4_TN_6.pdf,20795_4_TN_6.jpg
3/24/2020 14:12:13,1957-01-31,1950,4,Hilary,7,TN,16,Kevan Johnson,,,,20851_4_TN_7,20851_4_TN_7.pdf,20851_4_TN_7.jpg
3/24/2020 14:14:14,1957-02-07,1950,4,Hilary,8,TN,4,Kevan Johnson,,,,20858_4_TN_8,20858_4_TN_8.pdf,20858_4_TN_8.jpg
3/24/2020 14:14:57,1957-02-14,1950,4,Hilary,9,TN,4,Kevan Johnson ,,,,20865_4_TN_9,20865_4_TN_9.pdf,20865_4_TN_9.jpg
3/24/2020 14:15:39,1957-02-21,1950,4,Hilary,10,TN,4,Kevan Johnson,,,,20872_4_TN_10,20872_4_TN_10.pdf,20872_4_TN_10.jpg
3/24/2020 14:16:42,1957-02-28,1950,4,Hilary,11,TN,4,Kevan Johnson,,,,20879_4_TN_11,20879_4_TN_11.pdf,20879_4_TN_11.jpg
3/24/2020 14:17:44,1957-03-07,1950,4,Hilary,12,TN,6,Kevan Johnson ,,,,20886_4_TN_12,20886_4_TN_12.pdf,20886_4_TN_12.jpg
3/24/2020 14:19:25,1957-05-16,1950,4,Trinity,13,TN,4,Derek Horwood,,,,20956_4_TN_13,20956_4_TN_13.pdf,20956_4_TN_13.jpg
3/24/2020 14:23:04,1957-05-23,1950,4,Trinity,14,TN,6,Derek Horwood,,,,20963_4_TN_14,20963_4_TN_14.pdf,20963_4_TN_14.jpg
3/24/2020 14:24:09,1957-05-30,1950,4,Trinity,15,TN,4,Derek Horwood,,,,20970_4_TN_15,20970_4_TN_15.pdf,20970_4_TN_15.jpg
3/24/2020 14:25:36,1957-06-06,1950,4,Trinity,16,TN,4,Derek Horwood,,,,20977_4_TN_16,20977_4_TN_16.pdf,20977_4_TN_16.jpg
3/24/2020 14:26:29,1957-06-13,1950,4,Trinity,17,TN,7,Derek Horwood,,,,20984_4_TN_17,20984_4_TN_17.pdf,20984_4_TN_17.jpg
3/24/2020 14:28:29,1957-06-20,1950,4,Trinity,18,TN,4,Derek Horwood,,,,20991_4_TN_18,20991_4_TN_18.pdf,20991_4_TN_18.jpg
